@relation ''
@attribute Protoss_Cyber1 real
@attribute Protoss_Robo1 real
@attribute Protoss_Adun real
@attribute Protoss_Observertory real
@attribute Protoss_Dragon_num real
@attribute Protoss_Zealot_num real
@attribute Protoss_Gateway1_time real
@attribute Protoss_Gateway2_time real
@attribute Protoss_Gateway3_time real
@attribute Protoss_Nexus1_time real
@attribute Protoss_Nexus2_time real
@attribute Protoss_Templar_archive_time real
@attribute Protoss_Probe_num real
@attribute Protoss_Pylon_num real
@attribute Protoss_gas_time real
@attribute class {3gate, observer,dark,nexus}
@data
1,0,1,0,2,2,1,1,0,1,0,1,23,3,1,dark
0,0,0,0,3,2,1,0,0,1,0,0,2,0,0,3gate
0,0,0,0,0,9,1,1,1,1,0,0,19,6,1,3gate
0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,observer
1,1,0,0,0,7,1,1,0,1,0,0,23,4,1,3gate
1,0,0,0,1,5,1,1,0,1,0,0,23,6,1,nexus
1,0,0,0,1,4,1,1,0,1,0,0,24,4,1,nexus
0,0,0,0,0,0,0,0,0,1,1,0,9,0,0,nexus
1,0,0,0,0,2,1,0,0,1,0,0,18,4,1,observer
0,0,0,0,0,9,1,1,0,1,0,0,16,3,1,dark
1,0,0,0,1,3,1,0,0,1,0,0,21,3,1,observer
0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,observer
1,0,0,0,1,2,1,0,0,1,0,0,19,3,1,observer
1,0,0,0,2,3,1,1,0,1,0,0,18,3,1,nexus
1,1,0,0,1,7,1,1,0,1,0,0,22,4,1,nexus
1,0,0,0,0,2,1,0,0,1,0,0,18,3,1,nexus
0,0,0,0,3,2,1,0,0,1,0,0,2,0,0,3gate
1,0,0,0,1,2,1,0,0,1,0,0,22,3,1,observer
0,0,0,0,0,4,1,1,0,0,0,0,2,1,0,observer
1,0,1,0,0,4,1,0,0,1,0,0,15,2,1,nexus
1,0,0,0,0,2,1,1,0,1,0,0,17,2,1,3gate
1,0,0,0,3,3,1,1,0,1,0,0,25,3,1,dark
1,0,0,0,1,3,1,0,0,1,0,0,22,5,1,nexus
1,1,0,0,1,2,1,0,0,1,0,0,19,3,1,nexus
0,0,0,0,1,5,1,1,0,1,0,0,18,2,1,nexus
0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,observer
1,0,0,0,1,2,1,0,0,1,0,0,21,3,1,observer
0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,dark
0,0,0,0,0,6,1,1,0,1,1,0,19,4,0,nexus
1,0,0,0,0,2,1,1,0,1,0,0,23,3,0,nexus
1,0,0,0,1,5,1,1,0,1,0,0,23,6,1,nexus
0,0,0,0,1,2,1,1,0,1,0,0,13,1,1,observer
1,1,0,0,0,2,1,0,0,1,0,0,19,3,1,3gate
1,1,0,0,0,2,1,0,0,1,0,0,19,3,1,dark
0,0,0,0,0,7,1,1,0,1,1,0,16,4,0,nexus
1,0,0,0,0,2,1,1,0,1,0,0,23,3,0,nexus
0,0,0,0,0,6,1,1,0,1,0,0,18,3,1,nexus
0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,observer
0,0,0,0,2,5,1,1,0,1,0,0,23,4,1,observer
1,0,0,0,1,2,1,0,0,1,0,0,20,3,1,observer
1,0,0,0,0,4,1,1,0,1,0,0,21,4,1,nexus
1,0,0,0,0,4,1,1,0,1,0,0,16,3,1,nexus
0,0,0,0,0,5,1,1,0,1,1,0,22,3,1,nexus
1,0,0,0,2,0,1,0,0,1,0,0,16,2,1,nexus
0,0,0,0,0,9,1,1,0,0,0,0,2,2,0,observer
1,0,0,0,0,0,1,0,0,1,0,0,12,1,1,nexus
1,0,0,0,0,1,1,1,0,1,0,0,16,2,0,observer
0,0,0,0,0,3,1,1,0,0,0,0,3,0,0,observer
1,1,0,0,2,1,1,1,0,1,0,0,21,4,1,nexus
0,0,0,0,0,5,1,1,0,1,1,0,20,4,0,nexus
0,0,0,0,0,7,1,1,0,1,0,0,16,2,1,nexus
0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,3gate
0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,dark
0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,3gate
1,0,1,0,0,2,1,0,0,1,0,0,14,2,1,3gate
